,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
229,25180,2020-2021,Swartz Creek Community Schools,24.7,92.56,1.27,59967,17.09,1434
230,25200,2015-2016,Lake Fenton Community Schools,35.6,95.96,0.0,74630,17.57,196
231,25200,2016-2017,Lake Fenton Community Schools,31.7,95.74,0.94,74630,19.32,196
232,25200,2017-2018,Lake Fenton Community Schools,33.5,95.26,0.0,74630,20.27,196
233,25200,2018-2019,Lake Fenton Community Schools,49.7,95.03,0.0,74630,22.37,196
234,25200,2020-2021,Lake Fenton Community Schools,47.9,95.61,0.0,74630,26.66,196
235,25250,2015-2016,Linden Community Schools,23.8,95.28,0.0,78627,9.11,687
236,25250,2016-2017,Linden Community Schools,30.2,94.94,0.0,78627,9.36,687
237,25250,2017-2018,Linden Community Schools,40.8,95.05,0.0,78627,7.26,687
238,25250,2018-2019,Linden Community Schools,63.1,95.13,0.0,78627,7.72,687
239,25250,2020-2021,Linden Community Schools,40.0,96.62,0.0,78627,19.63,687
240,28010,2015-2016,Traverse City Area Public Schools,37.0,95.74,1.0,61731,6.67,3547
241,28010,2016-2017,Traverse City Area Public Schools,39.15,95.34,1.22,61731,5.52,3547
242,28010,2017-2018,Traverse City Area Public Schools,44.95,93.46,0.17,61731,8.48,3547
243,28010,2018-2019,Traverse City Area Public Schools,52.55,94.10,0.0,61731,9.05,3547
244,28010,2020-2021,Traverse City Area Public Schools,48.65,92.85,0.14,61731,10.56,3547
245,28090,2015-2016,Kingsley Area Schools,45.7,96.20,0.0,54688,33.66,602
246,28090,2016-2017,Kingsley Area Schools,39.4,95.60,0.0,54688,31.76,602
247,28090,2017-2018,Kingsley Area Schools,33.6,86.25,0.0,54688,31.33,602
248,28090,2018-2019,Kingsley Area Schools,42.6,94.75,0.0,54688,34.71,602
249,28090,2020-2021,Kingsley Area Schools,41.9,92.72,0.0,54688,35.39,602
